port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,58114937,197304,88907411,644388,0,0,0,0,0,0,0,0,2801860608,687865856,9.608268737792969e-05,0
1,17439,8393,24096,19383,0,0,0,0,0,0,0,0,0,-323337728,10.001912832260132,0
1,17473,8831,78128,74176,0,0,0,0,0,0,0,0,0,0,10.01023006439209,0
1,17436,8674,79943,81286,0,0,0,0,0,0,0,0,0,30208,10.010227680206299,0
1,17460,8538,56346,45226,0,0,0,0,0,0,0,0,0,1933068576,10.010236263275146,0
1,17462,8129,20480,28054,0,0,0,0,0,0,0,0,0,46816,10.010228157043457,0
1,17472,8361,88916,48260,0,0,0,0,0,0,0,0,0,0,10.010260343551636,0
1,17472,8032,4624,19580,0,0,0,0,0,0,0,0,0,-1933145600,10.01023006439209,0
1,17473,8020,101124,15373,0,0,0,0,0,0,0,0,0,30208,10.01025938987732,0
1,17473,8247,117151,37022,0,0,0,0,0,0,0,0,0,-213563392,10.01022720336914,0
1,17446,8054,43704,21804,0,0,0,0,0,0,0,0,0,47104,10.01024580001831,0
1,17475,8622,58304,96164,0,0,0,0,0,0,0,0,0,0,10.010255575180054,0
1,17417,8155,73150,59030,0,0,0,0,0,0,0,0,0,0,10.010237693786621,0
1,17438,8285,58380,11944,0,0,0,0,0,0,0,0,0,2146631680,10.003964185714722,0
1,17473,8518,29624,60897,0,0,0,0,0,0,0,0,0,-2280896512,10.010312557220459,0
1,17474,8671,108341,78400,0,0,0,0,0,0,0,0,0,347750912,10.010258913040161,0
1,17474,8346,38454,10290,0,0,0,0,0,0,0,0,0,42909472,10.010248184204102,0
1,17472,8478,70502,57678,0,0,0,0,0,0,0,0,0,46816,10.010335445404053,0
1,17458,8371,35786,59866,0,0,0,0,0,0,0,0,0,-407484416,10.010262250900269,0
1,17416,8758,32680,33030,0,0,0,0,0,0,0,0,0,2297626912,10.00695013999939,0
1,17503,8914,114354,91286,0,0,0,0,0,0,0,0,0,-1933098784,10.010246515274048,0
1,17698,8805,113268,79169,0,0,0,0,0,0,0,0,0,0,10.010271549224854,0
1,17472,8700,26001,47210,0,0,0,0,0,0,0,0,0,440104448,10.010318994522095,0
1,17472,8434,56514,56514,0,0,0,0,0,0,0,0,0,0,10.010361909866333,0
1,17441,8609,63806,72992,0,0,0,0,0,0,0,0,0,0,10.010247230529785,0
1,17420,8866,107720,83710,0,0,0,0,0,0,0,0,0,1493041152,10.010354042053223,0
1,17466,8677,55450,51926,0,0,0,0,0,0,0,0,0,0,10.010240316390991,0
1,17472,8049,40340,34647,0,0,0,0,0,0,0,0,0,-1933145600,10.010246753692627,0
1,17473,8486,64491,47330,0,0,0,0,0,0,0,0,0,0,10.010239362716675,0
1,17474,8550,40858,25918,0,0,0,0,0,0,0,0,0,30208,10.010246276855469,0
1,17472,8654,94726,76666,0,0,0,0,0,0,0,0,0,0,10.010251998901367,0
1,17472,8810,43114,89372,0,0,0,0,0,0,0,0,0,0,10.010241508483887,0
1,17407,8705,23834,32962,0,0,0,0,0,0,0,0,0,1933068576,10.010239839553833,0
1,17446,8814,91946,90867,0,0,0,0,0,0,0,0,0,-1933098784,10.01023554801941,0
1,17474,8976,31619,95266,0,0,0,0,0,0,0,0,0,0,10.010314702987671,0
1,17472,8820,36412,43288,0,0,0,0,0,0,0,0,0,30208,10.01025938987732,0
1,17471,8807,46412,87668,0,0,0,0,0,0,0,0,0,0,10.010235786437988,0
1,17475,8752,69540,82668,0,0,0,0,0,0,0,0,0,323307520,10.010241270065308,0
1,17472,8866,59272,41416,0,0,0,0,0,0,0,0,0,47104,10.010233402252197,0
1,17472,8800,54996,95534,0,0,0,0,0,0,0,0,0,-323384832,10.010307550430298,0
1,17449,8760,60074,82963,0,0,0,0,0,0,0,0,0,30208,10.010236024856567,0
1,17466,8876,53325,42958,0,0,0,0,0,0,0,0,0,-30208,10.010236978530884,0
1,17504,8846,92016,89792,0,0,0,0,0,0,0,0,0,30208,10.010239124298096,0
