port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,98723651,21034277,137839880,42589367,0,0,0,0,0,0,0,0,952303904,0,9.250640869140625e-05,0
1,26168,12777,115830,48312,0,0,0,0,0,0,0,0,-952303904,16824320,10.010234117507935,0
1,26197,13242,82434,65026,0,0,0,0,0,0,0,0,0,2280802592,10.010236978530884,0
1,26159,12679,67705,29260,0,0,0,0,0,0,0,0,0,46816,10.010314464569092,0
1,26272,13324,51084,33336,0,0,0,0,0,0,0,0,0,0,10.010247230529785,0
1,26142,13212,118866,69862,0,0,0,0,0,0,0,0,0,0,10.006552696228027,0
1,26186,13226,40816,62112,0,0,0,0,0,0,0,0,0,0,10.010242938995361,0
1,26208,13214,23760,29552,0,0,0,0,0,0,0,0,0,-2163456000,10.01024317741394,0
1,26208,13275,83952,68142,0,0,0,0,0,0,0,0,0,47104,10.010241270065308,0
1,26209,13261,63087,65938,0,0,0,0,0,0,0,0,0,-134264832,10.010256290435791,0
1,26179,13187,20724,34212,0,0,0,0,0,0,0,0,0,47104,10.01023268699646,0
1,26148,13120,46066,56858,0,0,0,0,0,0,0,0,0,2297626624,10.010232210159302,0
1,26209,13242,71808,61998,0,0,0,0,0,0,0,0,0,0,10.010220050811768,0
1,26208,13239,63490,31998,0,0,0,0,0,0,0,0,0,0,10.010256052017212,0
1,26143,13025,20260,56530,0,0,0,0,0,0,0,0,0,0,10.010325908660889,0
1,26182,12871,36072,37094,0,0,0,0,0,0,0,0,0,0,10.010252475738525,0
1,26209,13218,56983,26396,0,0,0,0,0,0,0,0,0,0,10.010379791259766,0
1,26208,12971,119390,55888,0,0,0,0,0,0,0,0,0,0,10.010308265686035,0
1,26193,13219,23992,50514,0,0,0,0,0,0,0,0,0,0,10.010313510894775,0
1,26144,13169,17552,38168,0,0,0,0,0,0,0,0,2090680832,-2289106944,10.010318756103516,0
1,26200,13222,92066,58710,0,0,0,0,0,0,0,0,0,0,10.010241746902466,0
1,26208,13014,111800,48178,0,0,0,0,0,0,0,0,0,0,10.010321855545044,0
1,26210,12240,60905,47316,0,0,0,0,0,0,0,0,0,0,10.010238647460938,0
1,26210,12567,72070,73776,0,0,0,0,0,0,0,0,0,0,10.010248184204102,0
1,26200,12139,81440,52610,0,0,0,0,0,0,0,0,0,-8566784,10.01023530960083,0
1,34045,15287,102692,78122,0,0,0,0,0,0,0,0,0,47104,13.043738603591919,1
1,26208,12169,59000,52974,0,0,0,0,0,0,0,0,0,0,10.0102379322052,0
1,34126,16214,137340,107557,0,0,0,0,0,0,0,0,711179776,364481024,13.046153545379639,1
1,26138,12653,42625,20154,0,0,0,0,0,0,0,0,0,30208,10.010295867919922,0
1,26190,12186,93648,106690,0,0,0,0,0,0,0,0,0,1933115392,10.010283946990967,0
1,26208,12592,104210,73582,0,0,0,0,0,0,0,0,0,0,10.010644435882568,0
1,42035,19938,76886,50658,0,0,0,0,0,0,0,0,0,0,16.086509943008423,2
1,26204,12245,95102,66286,0,0,0,0,0,0,0,0,0,-2163456000,10.01024341583252,0
1,34054,16985,110733,24666,0,0,0,0,0,0,0,0,0,553648128,13.04484248161316,1
1,26208,13251,100478,65660,0,0,0,0,0,0,0,0,0,47104,10.010245084762573,0
1,34069,17079,90548,56848,0,0,0,0,0,0,0,0,0,0,13.047847270965576,1
1,27816,13775,99720,43624,0,0,0,0,0,0,0,0,0,1609713952,10.010250329971313,0
1,26209,13114,78404,54136,0,0,0,0,0,0,0,0,0,46816,10.010260581970215,0
1,34042,17140,75368,60494,0,0,0,0,0,0,0,0,0,-46816,13.04353952407837,1
1,26203,13206,51733,33292,0,0,0,0,0,0,0,0,0,46816,10.01023554801941,0
1,26209,13163,79986,56558,0,0,0,0,0,0,0,0,0,0,10.001794815063477,0
1,26135,13040,87512,52096,0,0,0,0,0,0,0,0,0,0,10.010234355926514,0
1,26195,13048,48310,29906,0,0,0,0,0,0,0,0,0,0,10.010246992111206,0
1,34129,17222,163210,88166,0,0,0,0,0,0,0,0,0,0,13.04440712928772,1
1,26147,13183,43756,27476,0,0,0,0,0,0,0,0,0,0,10.010265350341797,0
1,26180,12755,87203,44734,0,0,0,0,0,0,0,0,0,0,10.01026177406311,0
1,26208,13236,96620,51698,0,0,0,0,0,0,0,0,0,0,10.01033329963684,0
1,26210,13098,39266,31510,0,0,0,0,0,0,0,0,0,0,10.010242700576782,0
