packet_count,byte_count,flow_count,seconds,api_retry
56,78664,3,0.0068929195404052734,0
11050,107265447,3,10.010365009307861,0
11355,107687986,3,10.010424137115479,0
10959,107136530,3,10.00104808807373,0
252,352968,3,13.045066118240356,1
256,358344,3,16.071908950805664,2
11361,107699786,3,10.010370016098022,0
10717,106792381,3,10.00112009048462,0
133,186402,3,16.071698904037476,2
33976,139368679,3,13.029257774353027,1
102,142868,3,19.085694074630737,3
14105,111542993,3,10.009629964828491,0
34762,140475488,3,13.029636144638062,1
23274,32596780,3,13.05271601676941,1
11724,108209723,3,10.010631084442139,0
22983,32190694,3,19.083580017089844,3
2986,463111918,3,43.21654510498047,11
178,249092,3,10.035449028015137,0
11311,107627734,3,10.000465154647827,0
34005,139411521,3,13.020490884780884,1
217,304058,3,16.06577706336975,2
228,319352,3,16.071638107299805,2
10794,106903284,3,10.010419845581055,0
11605,108044774,3,10.00144100189209,0
22579,31620522,3,13.043976068496704,1
11451,107825466,3,10.01037311553955,0
11149,107397398,3,10.010386943817139,0
11536,107942231,3,10.01036787033081,0
225,315490,3,13.043712139129639,1
11444,107817532,3,10.007513999938965,0
10889,107030921,3,10.006325006484985,0
46,64204,3,16.040165901184082,2
11269,107571609,3,10.008328914642334,0
204,285736,3,13.049326181411743,1
33639,138899762,3,13.028146028518677,1
177,248258,3,10.031662940979004,0
34322,139852824,3,13.02423095703125,1
0,0,3,25.127912998199463,5
11562,107983700,3,10.010316848754883,0
11556,107971207,3,10.009660959243774,0
11043,107253506,3,10.003013134002686,0
217,304058,3,10.025105953216553,0
10993,107178870,3,10.004364013671875,0
14967,204530553,3,19.069329977035522,3
167,233798,3,22.11589503288269,4
11035,107239138,3,10.010149002075195,0
34311,139838918,3,13.031579971313477,1
10641,106688765,3,10.010350227355957,0
204,285736,3,16.056006908416748,2
165,231450,3,10.033385992050171,0
34041,139461906,3,13.028710126876831,1
10887,107033398,3,10.010329961776733,0
11532,107934923,3,10.006596088409424,0
173,242202,3,10.031101942062378,0
57318,172057831,3,16.048048973083496,2
23121,32382138,3,13.04972505569458,1
10946,107115924,3,10.009420156478882,0
10735,106820650,3,10.010449886322021,0
162,226908,3,16.06494903564453,2
193,270442,3,25.13430905342102,5
11397,107747250,3,10.009851932525635,0
155,216990,3,25.127156972885132,5
11112,107348644,3,10.010118007659912,0
152,212448,3,10.028036832809448,0
11129,107374082,3,10.001857995986938,0
33928,139298064,3,13.02357792854309,1
2983,463115856,3,43.24037289619446,11
11474,107853384,3,10.006566047668457,0
4483,98061562,3,31.17775297164917,7
10560,106572240,3,10.001137971878052,0
15550,205354103,3,19.060577154159546,3
75,105390,3,10.0295250415802,0
40840,332561116,3,31.134170055389404,7
28188,39473784,3,16.07112407684326,2
64,90096,3,34.169214963912964,8
163,228422,3,13.03567886352539,1
11528,107932524,3,10.005733013153076,0
10481,106466245,3,10.01028323173523,0
225,315490,3,16.061808824539185,2
34450,140032839,3,13.027372121810913,1
39,54286,3,10.029739141464233,0
11111,107349846,3,10.005790948867798,0
10752,106839495,3,10.009093046188354,0
11430,107796040,3,10.000505208969116,0
10620,106661988,3,10.010368824005127,0
207,290278,3,13.04423999786377,1
34081,139517136,3,13.030482053756714,1
68,95472,3,13.04079794883728,1
239,334646,2,43.83086085319519,11
11336,107664468,3,10.004002094268799,0
10914,107069708,3,10.007695198059082,0
194,271276,3,10.028934001922607,0
11317,107636818,3,10.004454135894775,0
11010,107204470,3,10.01039719581604,0
10932,107094633,3,10.010372877120972,0
11155,107407138,3,10.006616115570068,0
10992,107182112,3,10.004467010498047,0
7,9238,3,10.020586967468262,0
11255,107545918,3,10.008193969726562,0
11414,107772740,3,10.009968042373657,0
10872,107015867,3,10.007873058319092,0
11167,107426230,3,10.010365009307861,0
11016,107214424,3,10.010382890701294,0
178,249092,3,10.028105020523071,0
11282,107585175,3,10.010356903076172,0
11326,107646717,3,10.010370016098022,0
10980,107160167,3,10.0103600025177,0
11138,107386687,3,10.010368824005127,0
71,99334,3,10.02040410041809,0
65,90930,3,10.021804809570312,0
11441,107805557,3,10.010236024856567,0
10532,106535068,3,10.010243892669678,0
11135,107379386,3,10.0069420337677,0
11373,107711389,3,10.007235765457153,0
10824,106943836,3,10.006730079650879,0
77,107738,3,10.024710893630981,0
11247,107535777,3,10.010251998901367,0
11034,107237949,3,10.006275177001953,0
11265,107562225,3,10.0103600025177,0
15398,113349356,3,10.008635997772217,0
