packet_count,byte_count,flow_count,seconds,api_retry
25721,1083632175,3,1.71661376953125e-05,0
10665,106728810,3,10.00561809539795,0
11425,107790914,3,10.010358095169067,0
10545,106551149,3,10.000257968902588,0
-54151,107733350,3,10.010374069213867,0
11457,107823406,3,10.010358095169067,0
11097,107328637,3,10.010372877120972,0
10909,107068690,3,10.010204076766968,0
11125,107363186,3,10.007635116577148,0
11506,107905768,3,10.010388135910034,0
-54532,18446744069521778415,3,10.010369062423706,0
11260,107555144,3,10.010387182235718,0
11049,107260006,3,10.010358095169067,0
10979,107165189,3,10.01037883758545,0
10832,106952416,3,10.010157108306885,0
11664,108123552,3,10.005223035812378,0
-54724,106930467,3,10.007535934448242,0
11318,107629088,3,10.001626014709473,0
10963,107143454,3,10.008977890014648,0
10976,107156463,3,10.003979921340942,0
11374,107713408,3,10.007209062576294,0
11727,108213546,3,10.007360219955444,0
-54539,107188553,3,10.01026201248169,0
11820,108337216,3,10.01038408279419,0
11310,107627524,3,10.008133172988892,0
11198,107469028,3,10.010354995727539,0
10699,106771109,3,10.006150007247925,0
11629,108075618,3,10.010226011276245,0
-54946,106620892,3,10.010373830795288,0
11186,107445003,3,10.006021976470947,0
10944,-18446744073602437796,3,10.010181188583374,0
11131,107375506,3,10.010349988937378,0
11352,107687751,3,10.005463123321533,0
10802,106915016,3,10.01036787033081,0
-54212,107646436,3,10.00084900856018,0
11374,107716491,3,10.010369062423706,0
11717,108191422,3,10.01036810874939,0
10490,106478768,3,10.010254144668579,0
11563,107981365,3,10.004518985748291,0
-54335,107473378,3,10.005020141601562,0
11093,107317650,3,10.010382890701294,0
11267,107565401,3,10.002279996871948,0
11497,107889074,3,10.010380029678345,0
11034,107239200,3,10.009214162826538,0
11380,107721987,3,10.006196022033691,0
-54279,107551118,3,10.010163068771362,0
10841,106971422,3,10.010406017303467,0
11253,107542646,3,10.003504991531372,0
10913,107070653,3,10.010362148284912,0
11510,107910900,3,10.00962209701538,0
11080,18446744069521887916,3,10.002835035324097,0
-53981,107967461,3,10.010378122329712,0
10650,106703084,3,10.010136842727661,0
13802,111115140,3,10.00092101097107,0
11169,107425601,3,10.010370969772339,0
11294,107608356,3,10.010338068008423,0
10746,106836000,3,10.010147094726562,0
-54190,107674535,3,10.003435134887695,0
10624,106667664,3,10.001811981201172,0
11492,107879764,3,10.002933025360107,0
11766,108268076,3,10.0070321559906,0
11063,107277545,3,10.01025390625,0
11324,107643392,3,10.006443977355957,0
-53923,108055770,3,10.010420083999634,0
10908,107064739,3,10.010367155075073,0
10891,107032959,3,10.009406805038452,0
14114,111555328,3,10.009618043899536,0
11127,107367449,3,10.008306980133057,0
-54441,107323586,3,10.010369777679443,0
11356,107690668,3,10.010420083999634,0
11386,-18446744073601821525,3,10.00333309173584,0
11016,107212140,3,10.010334014892578,0
-8112,172213212,3,16.055721044540405,2
10703,106775805,3,10.003856182098389,0
11348,107682144,3,10.01012897491455,0
12150,108802480,3,10.002907037734985,0
-54360,107433367,3,10.009706974029541,0
34097,139544458,3,13.031584024429321,1
10652,106713940,3,10.010195970535278,0
-31088,140028207,3,13.027687788009644,1
6769,-1076066731,3,97.6883978843689,29
11638,108086036,3,10.009649991989136,0
10950,107120484,3,10.00716495513916,0
11284,107588339,3,10.010340929031372,0
-51069,112049978,3,10.010388135910034,0
11600,108030831,3,10.0103600025177,0
10812,106931896,3,10.010220050811768,0
11035,107240606,3,10.006202936172485,0
-4328,269291711,3,25.104049921035767,5
-31501,139452306,3,13.0244619846344,1
14998,204578791,3,19.07017493247986,3
11197,107469906,3,10.01020097732544,0
-584,366331167,3,34.145519971847534,8
11182,107444083,3,10.010344982147217,0
-8504,18446744069586246884,3,16.049771070480347,2
-8173,172125050,3,16.046754121780396,2
34148,139611867,3,13.029140949249268,1
-54849,106754206,3,10.009538888931274,0
11373,107711633,3,10.01039719581604,0
34371,139921110,3,13.031474113464355,1
11252,107548360,3,10.005567789077759,0
-39841,494917100,3,46.228456020355225,12
33446,138627960,3,13.024833917617798,1
-53947,108021422,3,10.010206937789917,0
38374,237309439,3,22.0914249420166,4
-20846,-18446744073279815917,3,40.190972089767456,10
10610,106648195,3,10.010349988937378,0
11378,107722128,3,10.006359100341797,0
-27236,237213203,3,22.089176893234253,4
10397,106347542,3,10.002539157867432,0
34779,140493722,3,13.028478860855103,1
-31379,139620953,3,13.031128883361816,1
33909,139273866,3,13.029732942581177,1
-54491,107257633,3,10.010374069213867,0
11392,107744244,3,10.010376930236816,0
14904,204443048,3,19.066173791885376,3
14283,203580161,3,19.07232403755188,3
-7527,173031105,3,16.043652057647705,2
10893,107041502,3,10.010146856307983,0
10977,107159674,3,10.010203123092651,0
