packet_count,byte_count,flow_count,seconds,api_retry
11176,107441212,3,10.007223844528198,0
10867,107003105,3,10.010374069213867,0
10747,106840230,3,10.007980108261108,0
11111,107351206,3,10.010370016098022,0
10895,107044966,3,10.0103759765625,0
11091,107319378,3,10.003829002380371,0
10872,107013691,3,10.01037311553955,0
11280,107583084,3,10.010210037231445,0
34425,139998145,3,13.024595022201538,1
10950,107122224,3,10.010347127914429,0
11553,107961769,3,10.010338068008423,1
57093,171746853,3,16.038100004196167,3
57550,172390292,3,16.04120397567749,2
10791,106901706,3,10.010401010513306,0
11004,107195332,3,10.010372161865234,0
11155,107412626,3,10.010365962982178,0
11381,107726858,3,10.010380029678345,0
11254,107548480,3,10.010358095169067,4
11690,108159175,3,10.010366916656494,0
10740,106830800,3,10.010374069213867,0
10837,106965230,3,10.0104238986969,0
56688,171181227,3,16.041818857192993,3
10729,106815018,3,10.002254009246826,1
11138,107383615,3,10.010396957397461,0
10632,106676743,3,10.003198146820068,0
10747,106835718,3,10.006078958511353,0
11210,107489288,3,10.007455110549927,0
11266,107562516,3,10.010366916656494,0
10622,106665791,3,10.001204013824463,0
10806,106914604,3,10.01036787033081,0
11397,107748593,3,10.01036787033081,0
11244,107538776,3,10.010379791259766,0
11451,107824298,3,10.010365962982178,0
10598,106628967,3,10.00908899307251,0
11274,107574367,3,10.010356903076172,0
11346,107671208,3,10.007500171661377,0
10770,106873500,3,10.004887104034424,0
10828,106951360,3,10.010318994522095,0
11230,107518208,3,10.008445024490356,0
33818,139147827,3,13.021444082260132,1
11109,107344970,3,10.0104238986969,0
11381,107728462,3,10.01036810874939,1
11426,107783039,3,10.010392904281616,0
10829,106954858,3,10.01016902923584,0
34510,140117628,3,13.025755882263184,1
11060,107278508,3,10.002535820007324,0
11177,107443406,3,10.010387897491455,0
12568,109386428,3,10.010350942611694,2
10852,106988551,3,10.01038408279419,2
11517,107911062,3,10.010379791259766,0
11307,107618226,3,10.010362148284912,1
10804,106920272,3,10.006649017333984,0
10743,106836946,3,10.01036286354065,0
10821,106944786,3,10.01036787033081,1
11022,107220095,3,10.010380983352661,0
10865,107003190,3,10.006166934967041,0
10856,106984184,3,10.010367155075073,3
10870,107015136,3,10.010363101959229,0
11322,107643652,3,10.003749132156372,1
11224,107503239,3,10.010361909866333,0
10695,106761018,3,10.010379076004028,0
10840,106974040,3,10.010361909866333,0
11636,108081635,3,10.010361909866333,0
11001,107190546,3,10.008953094482422,0
10976,107163136,3,10.010361909866333,0
11269,107570685,3,10.010365962982178,0
11622,108061380,3,10.010378122329712,0
11459,107834301,3,10.010359048843384,0
10919,107082386,3,10.010385990142822,0
11011,107210930,3,10.002240896224976,0
11066,107287631,3,10.000555038452148,0
10716,106793719,3,10.010375022888184,2
10975,107163034,3,10.010375022888184,1
10796,106906992,3,10.010213851928711,1
11121,107362445,3,10.010362148284912,0
10894,107044184,3,10.010353088378906,0
11266,107566592,3,10.010390043258667,0
10792,106902715,3,10.010363101959229,1
34449,140034194,3,13.024130821228027,1
34013,139418402,3,13.023813009262085,1
10672,106735084,3,10.010358810424805,0
10985,107171065,3,10.010361909866333,0
11391,107738410,3,10.000223875045776,0
11327,107647185,3,10.01037311553955,0
10579,106604186,3,10.01037883758545,0
11459,107834614,3,10.010365962982178,0
10865,107002130,3,10.010435819625854,0
10839,106967509,3,10.010406017303467,0
28074,131054317,3,13.015375852584839,3
10757,106848130,3,10.010369777679443,0
10974,107156803,3,10.010367155075073,0
11129,107374570,3,10.010364055633545,0
11110,107340463,3,10.010369062423706,0
34316,139847356,3,13.02493405342102,1
11551,107966122,3,10.010370969772339,0
11508,107904271,3,10.010364055633545,0
11058,107268876,3,10.010364055633545,0
11218,107500040,3,10.010359764099121,1
11269,107569694,3,10.01036286354065,0
10848,106975280,3,10.0103600025177,1
11052,107267115,3,10.010362148284912,0
11176,107440776,3,10.006372928619385,0
10625,106671406,3,10.010223865509033,1
34666,140335683,3,13.022999048233032,1
11292,107595803,3,10.010214805603027,0
11390,107741896,3,10.010397911071777,0
10844,106972132,3,10.010134935379028,0
13474,110657280,3,10.010367155075073,0
11730,108215899,3,10.010197162628174,0
10909,107067177,3,10.0103759765625,1
11312,107629723,3,10.010358095169067,1
10926,107089288,3,10.010379076004028,1
10721,106800909,3,10.0103600025177,0
34699,140385166,3,13.02211308479309,1
11110,107342691,3,10.010380029678345,0
10674,106737136,3,10.008929014205933,0
11348,107675160,3,10.010371208190918,0
11123,107367809,3,10.010360956192017,0
11013,107207110,3,10.010385990142822,0
10980,107165984,3,10.010243892669678,0
