port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,20925983,14634,52260443,197368,0,0,0,0,0,0,0,0,2801860608,364528128,0.00010061264038085938,0
1,17059,0,41224,0,0,0,0,0,0,0,0,0,0,30208,10.006328105926514,0
1,17038,0,80954,0,0,0,0,0,0,0,0,0,0,0,10.010245084762573,0
1,17056,1,82448,387,0,0,0,0,0,0,0,0,0,-30208,10.010231494903564,0
1,17116,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.005568742752075,0
1,17060,0,82835,0,0,0,0,0,0,0,0,0,0,30208,10.010250091552734,0
1,17054,0,79460,0,0,0,0,0,0,0,0,0,0,0,10.005566596984863,0
1,17099,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.01023554801941,0
1,17041,0,80954,0,0,0,0,0,0,0,0,0,0,0,10.010231733322144,0
1,17050,2,82512,451,0,0,0,0,0,0,0,0,0,-30208,10.010269403457642,0
1,17107,0,39730,0,0,0,0,0,0,0,0,0,0,30208,10.010246276855469,0
1,17057,0,82835,0,0,0,0,0,0,0,0,0,0,-30208,10.010237216949463,0
1,17062,0,82448,0,0,0,0,0,0,0,0,0,0,30208,10.0102379322052,0
1,17058,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.01027536392212,0
1,17101,1,81018,64,0,0,0,0,0,0,0,0,0,0,10.010277032852173,0
1,17056,1,82448,387,0,0,0,0,0,0,0,0,0,-30208,10.010324239730835,0
1,17059,1,41224,0,0,0,0,0,0,0,0,0,0,30208,10.010290622711182,0
1,17097,0,81405,64,0,0,0,0,0,0,0,0,0,-30208,10.01033067703247,0
1,17062,0,79460,0,0,0,0,0,0,0,0,0,0,30208,10.010267734527588,0
1,17067,1,41224,0,0,0,0,0,0,0,0,0,0,0,10.010755062103271,0
1,17107,0,82512,64,0,0,0,0,0,0,0,0,0,0,10.01023530960083,0
1,17055,0,82448,0,0,0,0,0,0,0,0,0,0,0,10.010307312011719,0
1,17061,2,39794,451,0,0,0,0,0,0,0,0,0,-30208,10.010234594345093,0
1,17102,0,82835,0,0,0,0,0,0,0,0,0,0,0,10.010211944580078,0
1,17070,1,82512,64,0,0,0,0,0,0,0,0,0,30208,10.010215282440186,0
1,17073,0,39730,0,0,0,0,0,0,0,0,0,-2399207424,3424815360,10.010301113128662,0
