port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
1,32,77,2532,8482,0,0,0,0,0,0,0,0,9399,215000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,13000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,24000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,36000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,27000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,41000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,26000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,27000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,65000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,29000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,16000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,14000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,52000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,31000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,23000000
1,0,0,0,0,0,0,0,0,0,0,0,0,11,-955000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,19000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,25000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,20000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,22000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,17000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,18000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,13000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,21000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,31000000
1,0,0,0,0,0,0,0,0,0,0,0,0,10,15000000
