packet_count,byte_count,flow_count,seconds,api_retry
69230,498746086,3,1.8835067749023438e-05,0
1,385,3,10.01037311553955,0
0,0,3,10.010357856750488,0
1,590,3,10.010369062423706,0
2,120,3,10.010356903076172,0
1,385,3,10.010361909866333,0
0,0,3,10.007932901382446,0
1,385,3,10.010354995727539,0
0,0,3,10.010365009307861,0
0,0,3,10.010360956192017,0
0,0,3,10.005861043930054,0
1,385,3,13.019665002822876,1
0,0,3,10.00449800491333,0
1,385,3,10.002984046936035,0
0,0,3,10.003906965255737,0
0,0,3,10.00242304801941,0
0,0,3,10.004423141479492,0
1,385,3,10.010365009307861,0
0,0,3,10.010365962982178,0
0,0,3,10.010357856750488,0
1,385,3,10.010366916656494,0
0,0,3,10.010359048843384,0
0,0,3,10.010365962982178,0
1,385,3,13.025074005126953,1
0,0,3,10.010359048843384,0
0,0,3,10.010358095169067,0
1,385,3,10.010359048843384,0
0,0,3,10.010358095169067,0
0,0,3,10.010363817214966,0
1,385,3,13.024787187576294,1
0,0,3,10.010365962982178,0
1,385,3,13.024805784225464,1
0,0,3,10.010082006454468,0
0,0,3,10.004880905151367,0
0,0,3,10.005768060684204,0
1,385,3,10.010365962982178,0
0,0,3,10.010366916656494,0
0,0,3,10.010363101959229,0
1,385,3,10.010380983352661,0
0,0,3,10.010358095169067,0
0,0,3,10.010365009307861,0
1,385,3,13.02475905418396,1
0,0,3,13.025327920913696,1
0,0,3,10.010363101959229,0
1,385,3,10.0001699924469,0
0,0,3,10.01036810874939,0
0,0,3,10.010385036468506,0
1,385,3,10.010356903076172,0
0,0,3,10.010365962982178,0
0,0,3,10.010324954986572,0
1,385,3,10.010390996932983,0
0,0,3,10.010354042053223,0
0,0,3,13.02280592918396,1
1,385,3,13.025670051574707,1
0,0,3,10.010357141494751,0
0,0,3,10.002219915390015,0
1,385,3,10.005134105682373,0
0,0,3,10.010374069213867,0
0,0,3,10.010361909866333,0
1,385,3,10.0103919506073,0
0,0,3,10.010365009307861,0
0,0,3,10.010401964187622,0
1,385,3,10.010357141494751,0
0,0,3,13.024200916290283,1
0,0,3,10.010371208190918,0
1,385,3,10.006937026977539,0
0,0,3,10.010364770889282,0
0,0,3,10.0103600025177,0
1,385,3,10.010365009307861,0
0,0,3,10.010365009307861,0
0,0,3,10.010367155075073,0
0,0,3,10.010370969772339,0
1,385,3,10.010356903076172,0
0,0,3,10.010365009307861,0
0,0,3,10.010365009307861,0
1,385,3,13.025506973266602,1
0,0,3,10.010353088378906,0
0,0,3,10.010360956192017,0
1,385,3,10.010363817214966,0
0,0,3,10.010361909866333,0
0,0,3,10.010364055633545,0
1,385,3,10.010356903076172,0
0,0,3,10.006837844848633,0
0,0,3,10.010366916656494,0
1,385,3,10.003728866577148,0
0,0,3,13.016340017318726,1
0,0,3,10.008815050125122,0
1,385,3,10.00921106338501,0
0,0,3,10.010369062423706,0
0,0,3,10.010355949401855,0
1,385,3,10.010358810424805,0
0,0,3,10.010354042053223,0
0,0,3,10.010366916656494,0
1,385,3,10.010380029678345,0
0,0,3,10.010368824005127,0
0,0,3,10.010358810424805,0
0,0,3,10.01036286354065,0
1,385,3,13.025799989700317,1
0,0,3,10.010354995727539,0
0,0,3,10.010354042053223,0
1,385,3,10.010357856750488,0
0,0,3,10.010361909866333,0
0,0,3,10.010378122329712,0
1,385,3,10.010342121124268,0
0,0,3,10.010372161865234,0
0,0,3,10.010365009307861,0
1,385,3,10.010359048843384,0
0,0,3,13.02488899230957,1
0,0,3,10.010365009307861,0
1,385,3,10.010380029678345,0
0,0,3,10.00891900062561,0
0,0,3,10.010375022888184,0
1,385,3,10.010370016098022,0
0,0,3,10.010354995727539,0
0,0,3,10.010375022888184,0
1,385,3,10.010363101959229,0
0,0,3,10.010359048843384,0
0,0,3,10.010367155075073,0
1,385,3,10.010365009307861,0
0,0,3,13.02395486831665,1
