packet_count,byte_count,flow_count,seconds,api_retry
25584,35158810,3,2.288818359375e-05,0
9171,12841234,3,10.010298013687134,0
9156,12824504,3,10.008089065551758,0
8657,12122781,3,10.010398149490356,0
8951,12537934,3,10.010349035263062,0
-56380,12824504,3,10.000324964523315,0
9170,12832287,3,10.01012396812439,0
9240,12937296,3,10.008461952209473,0
8849,12395066,3,10.010382175445557,0
8947,12530330,3,10.01035189628601,0
9158,12825479,3,10.01036810874939,0
9169,12829590,3,10.010370016098022,0
-56282,12955079,3,10.001801013946533,0
8681,12156846,3,10.010210990905762,0
8830,12368340,3,10.010354995727539,0
9150,12816100,3,10.010354995727539,0
9264,12963723,3,10.006057977676392,0
9163,12828634,3,10.006848096847534,0
8748,12253032,3,10.008260011672974,0
-56678,12403975,3,10.010403871536255,0
9150,12816100,3,10.008475065231323,0
9164,12828164,3,10.009505987167358,0
9255,12954609,3,10.010370016098022,0
8731,12224794,3,10.007785081863403,0
8788,12310192,3,10.005209922790527,0
9247,12950949,3,10.01032304763794,0
9166,12828284,3,10.010356903076172,0
-56373,12828634,3,10.010179042816162,0
8876,12429636,3,10.010166883468628,0
8728,12224343,3,10.009505033493042,0
9156,12824504,3,10.00912094116211,0
9256,12954344,3,10.007434844970703,0
9164,12829019,3,10.010265111923218,0
9323,13058302,3,10.010231971740723,0
-56805,12227106,3,10.010365009307861,0
9180,12852451,3,10.000279903411865,0
9235,12927498,3,10.009834051132202,0
9167,12829934,3,10.008810997009277,0
8841,12382505,3,10.010264158248901,0
8761,12272034,3,10.008558988571167,0
9158,12824624,3,10.010352849960327,0
-56372,12827959,3,10.010149002075195,0
9257,12955994,3,10.010215997695923,0
8813,12343962,3,10.00099492073059,0
8715,12206701,3,10.010335922241211,0
9147,12809330,3,10.009627103805542,0
9252,12953044,3,10.007797002792358,0
9167,12829470,3,10.00029993057251,0
-56651,12439849,3,10.010359048843384,0
8636,12097744,3,10.0103759765625,0
9245,12949050,3,10.010241985321045,0
9166,12828079,3,10.010200023651123,0
9159,12821410,3,10.003830909729004,0
9040,12661556,3,10.003288984298706,0
8581,12018785,3,10.01040506362915,0
9139,12797898,3,10.010413885116577,0
-56362,12843792,3,10.01038408279419,0
9242,12938271,3,10.010354042053223,0
8934,12511464,3,10.010388851165771,0
8643,12103067,3,10.001451969146729,0
9105,12749373,3,10.010361194610596,0
9250,12952924,3,10.008779048919678,0
9166,12829344,3,10.001245975494385,0
-56541,12597506,3,10.010437965393066,0
8563,11992025,3,10.010369062423706,0
9196,12880984,3,10.009155988693237,0
9170,12840644,3,10.005762100219727,0
9167,12829729,3,10.009639978408813,0
9056,12680832,3,10.002094030380249,0
8627,12084118,3,10.010382175445557,0
-56455,12718665,3,10.005982160568237,0
9157,12818706,3,10.003220081329346,0
9202,12880692,3,10.007345914840698,0
9094,12730383,3,10.01033616065979,0
8618,12072532,3,10.000254154205322,0
9017,12629698,3,10.002600908279419,0
9250,12952719,3,10.010361909866333,0
9167,12828874,3,10.0104079246521,0
-56444,12731392,3,10.007970809936523,0
8543,11966462,3,10.003406047821045,0
9111,12761814,3,10.010184049606323,0
9171,12841098,3,10.00351595878601,0
9165,12828754,3,10.009826898574829,0
9447,13223073,3,10.00746202468872,0
8615,12067310,3,10.002904176712036,0
-56465,12706694,3,10.010363101959229,0
9161,12826189,3,10.010361194610596,0
9165,12828754,3,10.000643968582153,0
9168,12835524,3,10.00898790359497,0
8589,12029537,3,10.010340929031372,0
9004,12609148,3,10.006062984466553,0
9158,12825684,3,10.010359048843384,0
-56280,12955199,3,10.009422779083252,0
9146,12805044,3,10.010375022888184,0
8601,12047474,3,10.010189056396484,0
8973,12563533,3,10.010217905044556,0
9197,12880894,3,10.001970052719116,0
9167,12828874,3,10.010165929794312,0
9141,12798085,3,10.010249137878418,0
-56597,12521126,3,10.010369777679443,0
8964,12554708,3,10.005299091339111,0
9157,12825094,3,10.006464004516602,0
9165,12828549,3,10.003468990325928,0
9222,12907084,3,10.003240823745728,0
8657,12125458,3,10.0103759765625,0
8885,12444361,3,10.01037311553955,0
9159,12825214,3,10.00881814956665,0
-56367,12829590,3,10.001820802688599,0
9248,12945751,3,10.010205030441284,0
8708,12197232,3,10.010364055633545,0
8817,12347790,3,10.003085136413574,0
9157,12824889,3,10.010367155075073,0
9255,12954814,3,10.010388135910034,0
9163,12827574,3,10.008944034576416,0
-56858,12155212,3,10.010365962982178,0
8892,12455639,3,10.01023006439209,0
9190,12868992,3,10.008854866027832,0
9164,12828164,3,10.010284900665283,0
9166,12830199,3,10.0049889087677,0
8780,12294220,3,10.006747007369995,0
